Claim,Item page URL,Status,Created by,Submitted at,Social Media Posted at,Report Published at,Number of media,Tags,Red Social,Formato,¿Ataca a un candidato?,¿A qué candidato?,¿Ataca al TSE o al proceso electoral?,¿Qué narrativa se utiliza para atacar al TSE o al proceso electoral?,Señale qué narrativa de desinformación se utiliza,¿Fue creado con IA?,¿Imita a un medio de comunicación?,¿A qué medio?,Es caso es:,¿Qué tipo de rumor es?,El rumor que se promueve es:,Reacciones,Comentarios,Compartidos,Visualizaciones
Caso 115 08/25 Encuesta de intención de voto liderada por el candidato a la presidencia Rodrigo Paz,https://checkmedia.org/chequeabolivia-verificaciones/media/3406180,Inchequeable,ronald bernal zurita,2025-08-13 13:58:53,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Tendencias de Intención de voto,12400,1377,2672,371300
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406177,False,ronald bernal zurita,2025-08-13 13:54:58,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 158 08/2025 Contenido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3406173,Inchequeable,davilamorelia02,2025-08-13 13:53:14,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,6771,595,419,155100
Caso 159 08/2025 Manfred Reyes Villa alcalde de la basura,https://checkmedia.org/chequeabolivia-verificaciones/media/3406171,Inchequeable,davilamorelia02,2025-08-13 13:52:25,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Manfred Reyes Villa,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,321,63,271,24900
Caso 157 08/2025 Susana Bejarano hablaba mal de Andrónico,https://checkmedia.org/chequeabolivia-verificaciones/media/3406169,Inchequeable,davilamorelia02,2025-08-13 13:49:18,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Andrónico Rodriguez,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,798,115,401,33700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406165,In Progress,davilamorelia02,2025-08-13 13:44:12,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,Ataques a candidatos,No,No,,Desinformación,,,35,4,4,929
147 08/2025 Video afirma que Evo Morales tiene miedo a Manfred de presidente,https://checkmedia.org/chequeabolivia-verificaciones/media/3405633,Inchequeable,Rocio Lozano,2025-08-13 00:19:13,2025-08-11 19:40:39,,1,DesinfoElecciones2025,Facebook,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,2000,271,,180000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405605,In Progress,Max Bruno Pérez Aliaga,2025-08-12 23:29:16,,,1,DesinfoElecciones2025,X (Twitter),Imagen,No,,No,,,No,No,,Desinformación,,,110,4,23,5882
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405601,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:25:31,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,2247,141,235,89000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405599,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:23:24,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,No,No,,Desinformación,,,1562,634,1100,42500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405598,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:22:46,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,No,No,,Desinformación,,,1562,634,1100,42500
Es falso que el padrón electoral tenga un millón de votantes más que los datos del Censo 2024,https://checkmedia.org/chequeabolivia-verificaciones/media/3405564,False,Pablo Flores,2025-08-12 22:01:55,,2025-08-15 17:36:19,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,,No,No,,Desinformación,,,3998,279,1262,69500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405562,In Progress,Pablo Flores,2025-08-12 21:58:59,2025-08-12 16:30:34,,1,DesinfoElecciones2025,Facebook,Imagen,No,,No,,Supuestas encuestas de intención de voto,,Sí,Red Uno,Desinformación,,,155,67,423,
Es falso que el padrón electoral tenga un millón de votantes más que los datos del Censo 2024,https://checkmedia.org/chequeabolivia-verificaciones/media/3405560,False,Pablo Flores,2025-08-12 21:56:09,,2025-08-15 17:34:02,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,14400,264,2860,204400
Es falso que IDEA International realizó una encuesta que posiciona en primer lugar a Andrónico Rodriguez,https://checkmedia.org/chequeabolivia-verificaciones/media/3405512,False,Andre R. Flores Juaniquina,2025-08-12 20:47:01,,2025-08-15 17:32:02,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,906,98,285,39600
"Caso 156 08/25 Diputada Monica Torres confirma consorcio integrado por Samuel Doria Medina, Marcelo Claure, Bulgheroni y Carlos Gil para explotar el Litio",https://checkmedia.org/chequeabolivia-verificaciones/media/3405509,Inchequeable,LESLEY CASSIE NAVIA ORELLANA,2025-08-12 20:38:25,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,8287,1026,4399,197900
Encuesta que posiciona al voto nulo con el 48% de intención de voto no tiene validez,https://checkmedia.org/chequeabolivia-verificaciones/media/3405508,False,Grecia Velasquez,2025-08-12 20:37:14,2025-08-05 12:13:19,2025-08-15 17:30:32,1,DesinfoElecciones2025,X (Twitter),Imagen,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,21,4,11,541
"Caso 157 08/2025 Diputada de CC denuncia consorcio transnacional para controlar el litio boliviano, vinculado a empresarios y candidato Doria Medina",https://checkmedia.org/chequeabolivia-verificaciones/media/3405507,Inchequeable,Jonathan Aguilar,2025-08-12 20:36:41,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,8285,1025,4397,197700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405506,False,Jonathan Aguilar,2025-08-12 20:34:59,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Intromisión de misiones de observación,Sí,Sí,Unitel,Desinformación,,,2044,202,932,131.100
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405505,In Progress,Jonathan Aguilar,2025-08-12 20:33:43,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,Sí,Bolivisión,Desinformación,,,4327,628,995,133000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405503,In Progress,Jonathan Aguilar,2025-08-12 20:31:40,,,1,DesinfoElecciones2025,Facebook,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,2200,229,1300,
"Caso 145 08/2025 Socio de Andrónico, Fernando Humérez y su historia en el caso respiradores",https://checkmedia.org/chequeabolivia-verificaciones/media/3405498,Inchequeable,davilamorelia02,2025-08-12 20:23:12,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Andrónico Rodriguez,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,207,58,129,7866
Caso 144 08/2025 Fracaso del cierre de campaña de Tuto,https://checkmedia.org/chequeabolivia-verificaciones/media/3405470,Inchequeable,davilamorelia02,2025-08-12 19:28:00,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,4484,899,1038,288600
